method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.9,a0.15_sn0.9,45.0,0.7412,0.6633,769.99,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.8,a0.15_sn0.8,55.0,0.7209,0.659,766.51,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.7,a0.15_sn0.7,35.0,0.6306,0.6024,735.32,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.6,a0.15_sn0.6,65.0,0.6106,0.6109,737.82,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.5,a0.15_sn0.5,85.0,0.5619,0.5792,725.16,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.4,a0.15_sn0.4,100.0,0.5138,0.5373,715.83,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.3,a0.15_sn0.3,100.0,0.4879,0.5175,710.67,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.2,a0.15_sn0.2,100.0,0.4628,0.5029,704.59,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.1,a0.15_sn0.1,100.0,0.4268,0.467,697.66,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.0,a0.15_sn0.0,95.0,0.356,0.4039,691.41,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.1,a0.15_sp0.1,95.0,0.2996,0.359,685.43,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.2,a0.15_sp0.2,95.0,0.2638,0.332,679.7,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.3,a0.15_sp0.3,100.0,0.2398,0.3202,673.86,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.4,a0.15_sp0.4,100.0,0.2251,0.3085,667.11,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.5,a0.15_sp0.5,100.0,0.2138,0.304,660.58,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.6,a0.15_sp0.6,100.0,0.201,0.2974,654.52,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.7,a0.15_sp0.7,100.0,0.1991,0.3051,650.14,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.8,a0.15_sp0.8,100.0,0.1981,0.3126,647.04,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.8.wav
