method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.7,a0.15_sn0.7,35.0,0.6306,0.6025,735.35,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.6,a0.15_sn0.6,65.0,0.6106,0.6106,737.79,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.5,a0.15_sn0.5,85.0,0.5611,0.5786,725.12,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.4,a0.15_sn0.4,100.0,0.5141,0.5392,716.04,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.3,a0.15_sn0.3,100.0,0.4879,0.5176,710.67,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.2,a0.15_sn0.2,100.0,0.4635,0.503,704.57,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.1,a0.15_sn0.1,100.0,0.4279,0.4679,697.68,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.0,a0.15_sn0.0,95.0,0.3564,0.4038,691.39,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.1,a0.15_sp0.1,95.0,0.2991,0.359,685.41,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.2,a0.15_sp0.2,95.0,0.2635,0.3315,679.58,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.3,a0.15_sp0.3,100.0,0.2373,0.3184,673.7,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.4,a0.15_sp0.4,100.0,0.2251,0.3087,667.17,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.5,a0.15_sp0.5,95.0,0.2135,0.304,660.59,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.6,a0.15_sp0.6,100.0,0.2004,0.2967,654.5,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.7,a0.15_sp0.7,100.0,0.1995,0.3052,650.28,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.8,a0.15_sp0.8,100.0,0.198,0.3123,647.03,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.9,a0.15_sp0.9,100.0,0.1964,0.3239,645.09,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,1.0,a0.15_sp1.0,100.0,0.1938,0.3393,644.96,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.15_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-1.0,a0.20_sn1.0,40.0,0.684,0.5961,754.97,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.9,a0.20_sn0.9,45.0,0.624,0.5677,739.64,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.8,a0.20_sn0.8,100.0,0.5987,0.5569,736.75,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.7,a0.20_sn0.7,95.0,0.5278,0.5253,720.06,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.6,a0.20_sn0.6,765.0,0.5124,0.5276,719.71,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.5,a0.20_sn0.5,100.0,0.4664,0.4866,715.21,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.4,a0.20_sn0.4,95.0,0.3755,0.3827,709.58,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.3,a0.20_sn0.3,95.0,0.3129,0.3345,704.45,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.2,a0.20_sn0.2,95.0,0.2878,0.3175,699.07,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.1,a0.20_sn0.1,95.0,0.2652,0.3044,693.85,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.0,a0.20_sn0.0,95.0,0.2478,0.2958,687.98,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.1,a0.20_sp0.1,95.0,0.2384,0.2942,682.59,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.2,a0.20_sp0.2,100.0,0.2193,0.2841,677.06,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.3,a0.20_sp0.3,95.0,0.1999,0.2747,671.82,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.4,a0.20_sp0.4,100.0,0.1842,0.2696,665.5,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.5,a0.20_sp0.5,100.0,0.1848,0.2747,659.27,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.6,a0.20_sp0.6,95.0,0.1817,0.283,653.9,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.7,a0.20_sp0.7,2210.0,0.1711,0.2854,649.95,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.8,a0.20_sp0.8,95.0,0.1686,0.2992,647.61,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.9,a0.20_sp0.9,2190.0,0.1681,0.3123,646.25,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,1.0,a0.20_sp1.0,1660.0,0.1685,0.3228,645.67,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.20_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-1.0,a0.25_sn1.0,95.0,0.5622,0.5218,719.77,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.25_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.9,a0.25_sn0.9,95.0,0.5336,0.4941,720.51,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.25_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.8,a0.25_sn0.8,100.0,0.4798,0.4453,719.34,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.25_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.7,a0.25_sn0.7,100.0,0.3657,0.3124,714.3,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.25_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.6,a0.25_sn0.6,100.0,0.3298,0.2826,710.07,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.25_sn0.6.wav
